"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"부산","계","계",3303196,3284246,3264616,3238541,3212144,3186255,3160958,3136197,3111904,3087879,3063915,3039871,3015506,2990630,2965095,2938912,2911730,2883319,2853768,2823197,2791801
"부산","계","0 - 4세",84210,77541,71854,66828,63052,60355,59273,59732,61411,63445,65178,66582,67664,68446,68990,69361,69394,68952,68141,67041,65710
"부산","계","5 - 9세",125727,119495,112449,102928,92645,84541,77660,71993,67008,63298,60688,59678,60156,61811,63798,65494,66862,67908,68659,69176,69521
"부산","계","10 - 14세",130259,130284,130383,131641,129630,125214,118880,111633,102162,91972,83936,77108,71511,66604,62969,60440,59495,59993,61632,63598,65269
"부산","계","15 - 19세",131604,129439,126148,125315,128397,130401,130196,130178,131325,129221,124722,118373,111144,101776,91722,83770,77036,71536,66693,63125,60668
"부산","계","20-24세",197665,189331,181962,167682,154104,148239,145837,143223,143070,146268,148108,147485,147239,148115,145393,140328,133403,125559,115559,104895,96486
"부산","계","25-29세",220238,214446,207710,203936,198881,188611,178510,169554,156942,146047,142282,141517,139799,139556,142541,144024,143008,142403,142749,139736,134642
"부산","계","30-34세",199001,205267,207914,208004,208104,203706,198320,192328,188600,183237,173348,163980,155869,144715,135282,132303,131906,130295,130030,132835,133947
"부산","계","35-39세",202318,192225,187413,187300,187448,192046,196682,199064,199457,199974,196059,191141,185510,181880,176489,166942,157972,150256,139745,130847,128085
"부산","계","40-44세",246078,246666,241923,227683,213279,199109,188877,183994,183803,183829,188258,192790,195240,195843,196603,192962,188315,182895,179334,173965,164618
"부산","계","45-49세",241634,232818,226866,229945,235845,241616,241973,237008,223258,209475,195839,185939,181199,181019,181002,185356,189834,192344,193099,194019,190578
"부산","계","50-54세",273983,272632,265838,258379,246617,236014,227607,221652,224730,230441,236062,236482,231755,218490,205295,192171,182606,178035,177894,177876,182177
"부산","계","55-59세",263009,255196,262221,263275,264999,265750,264525,257947,250963,239748,229688,221683,215998,219080,224621,230121,230608,226114,213328,200698,188060
"부산","계","60-64세",297455,297091,286098,273476,258592,252629,245874,252975,254393,256418,257466,256603,250519,243968,233279,223728,216093,210661,213733,219123,224537
"부산","계","65-69세",243580,254432,266898,272435,283497,282815,283368,273224,261969,248484,243485,237590,245009,246738,249037,250350,249810,244172,237994,227771,218644
