"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"대구","계","계",2371593,2359734,2353742,2334535,2315299,2296541,2278256,2260413,2242904,2225610,2208456,2191357,2174224,2156888,2139329,2121505,2103222,2084333,2064892,2044944,2024535
"대구","계","0 - 4세",63845,59111,55616,51722,49198,47499,47031,47554,48857,50435,51762,52806,53574,54089,54395,54554,54449,53987,53249,52304,51188
"대구","계","5 - 9세",97670,93210,88715,81889,73989,67446,61960,57380,53413,50830,49097,48612,49118,50417,51994,53320,54364,55133,55648,55956,56107
"대구","계","10 - 14세",105373,104416,104279,104626,102798,99284,94337,88977,82056,74106,67557,62090,57531,53590,51037,49323,48851,49357,50650,52220,53537
"대구","계","15 - 19세",109024,107777,104685,103219,104316,104719,103478,102978,103269,101380,97832,92895,87557,80713,72913,66551,61267,56866,53065,50613,48972
"대구","계","20-24세",150197,141173,135035,124858,115786,111722,110150,107197,106278,107577,108102,107004,106587,106743,104683,101099,96138,90787,84014,76425,70401
"대구","계","25-29세",158927,155032,150170,146727,141999,134453,126940,121369,112324,104840,101878,101087,98807,98312,99782,100358,99340,98914,98927,96887,93472
"대구","계","30-34세",141311,146623,150660,150738,151140,147849,144349,139432,136711,132393,125523,118678,113566,105240,98532,95978,95399,93381,93131,94633,95159
"대구","계","35-39세",144106,137347,135915,136872,136892,140300,143838,145895,146228,146974,144077,140954,136435,133958,129776,123159,116517,111525,103447,96989,94528
"대구","계","40-44세",176356,176671,173787,164088,154735,145402,137757,134765,135505,135354,138646,142124,144249,144743,145687,143006,140069,135739,133380,129258,122768
"대구","계","45-49세",188334,179763,173035,171979,173858,175556,175733,171883,162458,153364,144209,136701,133756,134396,134178,137437,140906,143085,143696,144765,142230
"대구","계","50-54세",215055,213627,208688,201915,192417,184063,175523,168637,167942,170019,171913,172276,168599,159479,150703,141799,134497,131659,132256,132020,135260
"대구","계","55-59세",198995,197292,203894,205131,206683,206888,205248,200052,193788,184864,177041,169039,162674,162318,164547,166574,167081,163566,154794,146408,137846
"대구","계","60-64세",196628,202782,200761,196669,190457,189040,187090,192986,194286,195951,196338,195006,190275,184516,176189,168922,161474,155628,155575,157908,160041
"대구","계","65-69세",147210,152476,163268,171486,181872,185947,191742,189029,185372,179685,178607,176958,182837,184219,186010,186592,185574,181287,175996,168232,161485
"대구","계","70-74세",107797,112580,114550,122638,132211,137717,142976,152905,160872,170927,174910,180544,178078,174854,169707,168946,167616,173454,174956,176894,177667
"대구","계","75-79세",73864,75665,80916,86230,92648,98047,102643,104401,112191,121147,126501,131645,141057,148743,158374,162239,167625,165423,162687,158201,157769
"대구","계","80-84세",57254,61563,63166,63240,59980,61434,63400,68009,72624,77838,82675,86877,88667,95799,103628,108576,113334,121689,128823,137623,141134
"대구","계","85-89세",28908,30802,33306,35357,37281,40389,43649,44691,44656,42133,43652,45581,49273,52732,56227,60074,63461,65032,70815,76749,80808
"대구","계","90-94세",8902,9749,10942,12533,14111,15387,16586,17946,19124,20222,22018,23870,24375,24249,22658,23905,25384,27704,29673,31345,33805
"대구","계","95세이상",1837,2075,2354,2618,2928,3399,3826,4327,4950,5571,6118,6610,7209,7778,8309,9093,9876,10117,10110,9514,10358
"중구","계","계",76853,82312,91499,95859,98169,98908,98413,96897,95566,94353,93235,92175,91153,90163,89187,88205,87208,86198,85165,84113,83046
"중구","계","0 - 4세",2465,2752,3295,3291,3238,3077,2936,2871,2892,2926,2961,2993,3011,3022,3023,3021,3004,2977,2936,2882,2820
"중구","계","5 - 9세",3032,3353,3896,4051,3976,3849,3664,3364,3083,2898,2712,2615,2615,2664,2720,2771,2813,2840,2856,2862,2866
"중구","계","10 - 14세",2547,2816,3294,3728,3949,4112,4090,3996,3769,3477,3232,3013,2767,2559,2426,2284,2229,2251,2300,2356,2405
"중구","계","15 - 19세",2490,2742,3136,3408,3714,3866,3911,3915,4017,3992,3979,3843,3706,3458,3164,2924,2710,2492,2318,2204,2084
"중구","계","20-24세",4870,5022,5386,5143,4874,4732,4731,4612,4546,4623,4632,4605,4601,4670,4589,4508,4301,4102,3800,3457,3184
"중구","계","25-29세",6878,7147,7679,7788,7648,7193,6674,6242,5722,5318,5139,5127,5006,4970,5061,5075,5044,5017,5041,4926,4797
"중구","계","30-34세",5812,6995,8403,8873,8938,8761,8328,7790,7467,7134,6681,6278,5994,5547,5185,5038,5027,4907,4893,4982,4993
"중구","계","35-39세",5697,6096,7319,7874,8260,8546,8782,8651,8495,8294,8049,7714,7414,7230,6988,6598,6240,5967,5526,5181,5048
"중구","계","40-44세",5540,6275,7326,7757,7851,7776,7429,7275,7180,7160,7218,7380,7343,7303,7225,7078,6836,6623,6484,6280,5933
"중구","계","45-49세",5460,5580,5984,6534,7062,7396,7710,7654,7364,7000,6679,6276,6176,6118,6129,6208,6381,6375,6389,6358,6250
"중구","계","50-54세",5938,6383,6951,7158,7117,7039,6792,6565,6653,6823,6927,7084,6965,6659,6306,6002,5641,5568,5525,5550,5633
"중구","계","55-59세",5345,5519,5994,6395,6807,7047,7185,7187,6991,6703,6471,6166,5964,6033,6153,6230,6347,6203,5914,5592,5319
"중구","계","60-64세",5461,5653,5877,5928,5936,5999,5975,6116,6263,6434,6509,6549,6502,6287,6027,5812,5535,5357,5414,5504,5573
"중구","계","65-69세",4646,4774,5215,5545,5828,5945,6140,6102,5944,5801,5755,5690,5841,5974,6101,6145,6167,6094,5884,5649,5439
"중구","계","70-74세",3832,3929,3991,4230,4575,4835,4982,5278,5516,5733,5824,5993,5952,5805,5674,5626,5568,5726,5850,5949,5992
"중구","계","75-79세",3045,3141,3302,3487,3656,3726,3819,3811,4016,4327,4549,4687,4982,5221,5461,5578,5745,5705,5565,5449,5406
"중구","계","80-84세",2276,2456,2603,2657,2584,2653,2721,2797,2919,3020,3091,3191,3211,3425,3706,3903,4032,4302,4531,4768,4889
"중구","계","85-89세",1082,1222,1343,1457,1531,1666,1789,1837,1831,1738,1782,1844,1930,2034,2108,2190,2298,2329,2513,2726,2880
"중구","계","90-94세",366,372,411,457,513,560,620,680,728,759,833,897,919,912,853,896,946,1007,1073,1106,1173
"중구","계","95세이상",71,85,94,98,112,130,135,154,170,193,212,230,254,272,288,318,344,356,353,332,362
"동구","계","계",333566,332988,337666,338365,338357,337814,336795,335328,333827,332297,330727,329115,327421,325637,323783,321833,319763,317542,315199,312726,310155
