시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
충청북도,계,계,1633687,1635672,1637564,1639888,1642524,1645382,1648396,1651452,1654450,1657284,1659969,1662466,1664680,1666519,1667777,1668326,1668108,1667155,1665471
충청북도,계,0 - 4세,47631,44757,42499,41496,41006,41204,42058,43595,45352,46930,48285,49403,50272,50896,51164,50983,50421,49552,48451
충청북도,계,5 - 9세,66570,63240,59843,55401,50914,47332,44466,42215,41131,40585,40772,41639,43196,44986,46601,48004,49173,50085,50752
충청북도,계,10 - 14세,72669,72020,71616,71113,69481,67021,63696,60308,55852,51321,47681,44758,42450,41296,40713,40895,41764,43348,45166
충청북도,계,15 - 19세,71549,71836,71045,71188,72728,73250,72657,72282,71812,70240,67784,64449,61065,56601,52022,48343,45394,43060,41845
충청북도,계,20 - 24세,103354,95797,89882,83381,76642,74470,75113,74362,74529,76004,76469,75882,75477,75006,73522,71110,67804,64443,59949
충청북도,계,25 - 29세,113913,112316,109970,107955,105613,100187,94001,89058,83162,77101,75376,75926,75087,75247,76651,77074,76488,76079,75739
충청북도,계,30 - 34세,98984,102767,106150,108597,111196,111531,109935,107860,105959,103579,98258,92453,87808,82116,76359,74796,75264,74407,74556
충청북도,계,35 - 39세,102963,98579,96615,96821,97151,99525,103149,106221,108426,110758,110796,109102,107058,105169,102761,97515,91874,87307,81661
충청북도,계,40 - 44세,117293,118725,117686,113337,109257,103910,99429,97438,97645,97967,100364,103950,106905,109016,111225,111106,109369,107330,105431
충청북도,계,45 - 49세,122003,118398,114680,115336,116804,120148,121612,120553,116099,111790,106228,101629,99601,99800,100136,102589,106197,109120,111206
충청북도,계,50 - 54세,138045,138692,135924,133741,129912,126401,122720,119035,119751,121410,124933,126476,125427,120864,116297,110474,105702,103598,103786
충청북도,계,55 - 59세,131684,131480,139682,140638,142476,143054,144159,141692,139567,135590,131833,127990,124253,125042,126944,130685,132328,131275,126561
충청북도,계,60 - 64세,139735,142682,140210,140047,135150,136084,135862,143931,145087,147322,148437,149915,147666,145550,141399,137379,133371,129579,130445
충청북도,계,65 - 69세,103352,111962,119786,126287,137064,140173,143315,141165,141040,136320,137271,137070,145002,146336,148885,150378,152066,149963,147834
충청북도,계,70 - 74세,68710,72016,76945,85066,94223,100520,108877,116561,123094,133627,136703,139919,137999,137938,133527,134551,134457,142194,143648
충청북도,계,75 - 79세,53317,53377,55160,57094,59979,64266,67389,72021,79668,88238,94288,102196,109526,115901,125945,128930,132156,130500,130587
충청북도,계,80 - 84세,45734,48062,47867,47717,45807,45525,45996,47764,49672,52183,56080,58940,63085,69910,77431,82975,90045,96640,102585
충청북도,계,85 - 89세,25784,27360,29033,30094,30886,33082,34946,34894,34855,33449,33629,34418,35961,37597,39443,42625,44968,48263,53683
충청북도,계,90 - 94세,8370,9336,10369,11720,13116,14221,15105,16105,16785,17333,18763,19915,19904,19900,19047,19477,20273,21334,22438
충청북도,계,95세 이상,2027,2270,2602,2859,3119,3478,3911,4392,4964,5537,6019,6436,6938,7348,7705,8437,8994,9078,9148
청주시,계,계,861345,864352,866741,868805,870538,871973,873414,874810,876120,877298,878383,879358,880182,880826,881163,881086,880587,879728,878481
청주시,계,0 - 4세,28756,27070,26028,25573,25391,25595,26188,27194,28322,29340,30215,30937,31497,31894,32070,31965,31624,31083,30408
청주시,계,5 - 9세,39439,37969,35805,32996,30432,28445,26717,25627,25088,24861,25047,25626,26614,27754,28768,29652,30392,30974,31380
