시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
충남,계,계,2185996,2204306,2223801,2229051,2233847,2238820,2243868,2248859,2253655,2258170,2262324,2266059,2269269,2271887,2273941,2275392,2276109,2275980,2274956,2273053,2270318
충남,계,0 - 4세,65086,60484,57252,54371,52413,51801,51924,52783,54188,55947,57511,58843,59925,60749,61339,61736,61820,61506,60863,59963,58847
충남,계,5 - 9세,93966,89250,84694,78145,71338,65376,60659,56878,53981,51957,51252,51292,52117,53536,55316,56893,58234,59313,60140,60733,61138
충남,계,10 - 14세,102654,101906,101645,101291,98890,94899,89915,84820,78294,71495,65576,60903,57109,54161,52080,51303,51271,52061,53480,55270,56851
충남,계,15 - 19세,105190,103931,101463,101519,103242,104305,103367,102680,102289,99906,95927,90966,85870,79360,72585,66715,62107,58341,55383,53284,52448
충남,계,20-24세,132220,131537,129655,120764,112494,108436,106380,104213,104552,106166,107119,106110,105448,105052,102769,99021,94313,89425,83200,76819,71381
충남,계,25-29세,133270,134651,136319,136897,136242,132312,128109,123310,115199,108096,104844,103497,101725,102006,103506,104345,103259,102687,102465,100422,96997
충남,계,30-34세,133301,137633,141454,143109,144993,144632,143499,142095,141733,140068,135379,130415,125128,117128,110122,106918,105790,104173,104380,105847,106686
충남,계,35-39세,146177,141697,140553,139937,139212,140906,143684,146427,148502,150623,150211,148814,147024,146138,143953,138824,133329,127675,119603,112476,109208
충남,계,40-44세,168393,171732,172035,165540,159089,151598,145405,142507,142142,141809,144026,147387,150538,152836,155075,154608,153028,150993,149797,147295,141866
충남,계,45-49세,166446,163732,161925,164914,168684,174594,177476,176120,169480,162813,155105,148775,145884,145664,145581,148151,151932,155366,157811,160136,159625
충남,계,50-54세,178722,182707,182174,181516,177500,173338,169763,166847,169555,173276,179133,181877,180428,173690,166846,158945,152485,149582,149478,149592,152460
충남,계,55-59세,164487,164608,175349,175255,183067,187056,190761,189446,188422,183915,179274,175318,172047,174539,178295,184180,186892,185442,178634,171582,163464
충남,계,60-64세,173363,180042,178514,179335,171745,172774,172545,182741,183071,190983,194996,198777,197383,196034,191091,186014,181715,178141,180506,184398,190419
충남,계,65-69세,129281,139151,149749,158731,171680,177762,184050,182485,183136,175771,176919,176678,186725,187436,195353,199383,203178,201755,200166,194919,189566
충남,계,70-74세,98516,100432,103187,111353,121737,128393,138353,148993,158066,170870,176885,183034,181585,182159,175162,176423,176266,186121,187170,195037,199089
충남,계,75-79세,73246,73956,77560,83598,88539,92497,94609,97644,105813,115865,122522,132140,142373,151320,163693,169464,175352,174054,174757,168462,169907
충남,계,80-84세,65422,67252,66186,65306,62881,62652,63901,67481,72841,76957,80655,82759,85777,93496,102566,108812,117515,126790,135269,146658,151884
충남,계,85-89세,39941,41535,43879,44703,44774,47812,49762,49346,48816,46954,47351,48837,51853,56089,58993,62100,63977,66710,73377,80691,85964
충남,계,90-94세,13272,14733,16344,18456,20566,22117,23364,24918,25518,25737,27874,29207,29064,28750,27536,28274,29634,31694,34374,35867,38010
충남,계,95세이상,3043,3337,3864,4311,4761,5560,6342,7125,8057,8962,9765,10430,11266,11744,12080,13283,14012,14151,14103,13602,14508
천안시,계,계,685846,690280,692724,693816,695040,696593,698405,700427,702368,704131,705720,707140,708335,709299,710017,710510,710663,710497,709936,709033,707807
천안시,계,0 - 4세,23934,21797,19925,18806,18007,17763,18015,18509,19204,20030,20773,21411,21936,22340,22638,22853,22927,22843,22624,22301,21892
천안시,계,5 - 9세,32840,31120,29005,26406,23809,21679,19792,18574,17665,17002,16823,17057,17468,18089,18838,19508,20090,20560,20925,21193,21396
천안시,계,10 - 14세,34489,34234,34037,33976,33359,31804,30104,28157,25762,23317,21302,19525,18362,17452,16779,16576,16764,17123,17720,18451,19092
천안시,계,15 - 19세,35880,34507,33517,33521,34086,34654,34414,34154,34131,33519,31979,30347,28454,26142,23762,21779,20040,18910,17965,17270,17044
천안시,계,20-24세,51521,52535,51301,47256,43183,40965,39608,38973,39072,39693,40245,39926,39660,39652,38937,37359,35702,33720,31322,28818,26727
천안시,계,25-29세,53369,53027,53562,54642,55352,54446,53317,51150,47652,44333,42784,41971,41488,41472,42101,42602,42175,41906,41890,41110,39569
천안시,계,30-34세,52100,53202,53762,54759,55997,56177,56037,56144,56632,56555,54974,53268,50898,47581,44505,43172,42570,42146,42077,42742,43168
천안시,계,35-39세,54838,52822,51455,50817,50135,51022,52364,53715,54983,56262,56327,56014,55765,55804,55325,53483,51587,49217,46079,43180,41973
천안시,계,40-44세,59244,60770,60354,57966,55686,53157,50929,50012,49756,49470,50593,52008,53348,54522,55653,55592,55167,54756,54606,53954,52025
천안시,계,45-49세,55674,54851,54426,55614,57269,59251,60535,59954,57729,55526,53040,50862,49978,49796,49638,50826,52265,53610,54725,55781,55657
천안시,계,50-54세,57973,59212,59047,58799,57541,56318,55323,54685,55832,57462,59424,60660,60050,57854,55651,53148,50994,50153,50030,49970,51223
천안시,계,55-59세,49349,49717,53445,54011,56462,57836,58882,58561,58256,56938,55673,54654,53969,55063,56653,58575,59740,59139,56999,54817,52346
천안시,계,60-64세,44878,47894,48244,49352,48087,48947,49201,52561,53075,55462,56761,57812,57508,57179,55827,54553,53519,52811,53875,55437,57327
천안시,계,65-69세,28454,31091,34485,37435,41591,43890,46525,46583,47501,46192,47025,47225,50447,50944,53263,54500,55530,55244,54902,53570,52308
천안시,계,70-74세,18869,19662,20677,23071,25724,27552,30136,33254,36001,39874,41948,44371,44369,45215,43959,44792,44979,48055,48554,50815,52012
