시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
대전,계,계,1472473,1473897,1473033,1465021,1456694,1448679,1441075,1433967,1427350,1421177,1415360,1409801,1404400,1399051,1393669,1388174,1382356,1376080,1369261,1361883,1353998
대전,계,0 - 4세,42621,40587,38346,36524,35046,34208,33885,34541,35973,37574,39017,40264,41298,42113,42721,43159,43325,43142,42678,41993,41131
대전,계,5 - 9세,61469,58075,54500,49733,45319,41858,39430,37254,35425,33985,33193,32913,33565,34909,36396,37725,38868,39806,40539,41080,41468
대전,계,10 - 14세,67977,66628,65804,65193,63166,60409,56875,53280,48703,44427,41029,38603,36419,34610,33194,32418,32149,32782,34071,35488,36754
대전,계,15 - 19세,78913,74732,69862,68412,68811,68477,67152,66261,65764,63879,61211,57748,54238,49778,45548,42117,39640,37382,35509,34053,33249
대전,계,20-24세,114486,114355,113261,104793,95717,90115,85543,81501,81163,81971,81992,80899,80215,79924,78063,75256,71585,67852,63033,58233,54247
대전,계,25-29세,113471,115646,116995,118082,118173,115135,111998,107970,99835,92356,88559,86004,83725,83953,84912,85269,84398,83815,83548,81759,78972
대전,계,30-34세,95848,99864,103634,106164,108460,109161,109256,108892,108984,108184,104592,101082,96977,89871,83869,81118,79494,77921,78269,79227,79663
대전,계,35-39세,93500,90274,88595,89052,89822,92477,95580,98453,100556,102477,102759,102413,101641,101334,100181,96514,93005,89040,82668,77464,75159
대전,계,40-44세,110479,110021,107507,102402,97017,91639,87829,86158,86562,87197,89684,92611,95297,97213,98975,99081,98553,97622,97140,95837,92200
대전,계,45-49세,116129,111478,107111,106539,107544,108773,108403,106090,101247,96091,90899,87158,85503,85873,86443,88861,91722,94334,96167,97852,97860
대전,계,50-54세,127915,128821,125896,122537,117241,112753,108366,104263,104110,105383,106857,106758,104684,100036,95074,90065,86418,84816,85193,85747,88135
대전,계,55-59세,109721,109744,116861,117552,121054,122435,122974,120144,117272,112472,108430,104459,100785,100960,102419,104065,104175,102310,97880,93148,88354
대전,계,60-64세,111966,113903,111614,109731,104474,104277,104170,110693,111307,114821,116249,116962,114480,111997,107597,103922,100295,96986,97420,99012,100788
대전,계,65-69세,80927,86569,92030,96502,103249,105163,107183,104989,103503,98760,98859,98864,105133,105699,109207,110677,111533,109341,107163,103115,99747
대전,계,70-74세,55307,57337,59919,65331,71554,75917,81213,86381,90811,97361,99300,101410,99484,98290,93987,94294,94419,100476,101086,104585,106100
대전,계,75-79세,39193,40091,42624,45598,48109,50472,52512,54816,59979,65790,69939,74960,79878,84221,90499,92419,94547,92870,91990,88221,88727
대전,계,80-84세,29980,31669,32252,32878,32286,32943,33912,36060,38683,40757,42921,44771,46897,51611,56688,60404,64864,69255,73373,79131,80902
대전,계,85-89세,15826,16807,18089,18899,19594,21485,22881,23274,23701,23161,23871,24788,26493,28509,29922,31682,33160,34909,38777,42649,45590
대전,계,90-94세,5465,5881,6520,7291,8076,8753,9426,10160,10636,11054,12207,13032,13231,13436,13023,13628,14312,15400,16633,17336,18516
대전,계,95세이상,1280,1415,1613,1808,1982,2229,2487,2787,3136,3477,3792,4102,4457,4714,4951,5500,5894,6021,6124,5953,6436
동구,계,계,231107,230528,227363,223459,220121,217423,215326,213767,212445,211317,210313,209403,208545,207725,206882,205997,205064,204044,202929,201729,200467
동구,계,0 - 4세,5637,5250,4776,4465,4226,4129,4095,4196,4418,4640,4839,5008,5154,5267,5354,5418,5444,5424,5367,5279,5163
동구,계,5 - 9세,7993,7415,6698,5862,5212,4723,4448,4181,4013,3873,3830,3814,3903,4093,4273,4442,4583,4704,4797,4864,4912
동구,계,10 - 14세,9175,8758,8443,8222,7709,7186,6640,6115,5458,4942,4523,4272,4003,3840,3694,3643,3617,3693,3862,4023,4176
동구,계,15 - 19세,13009,11803,10592,10023,9992,9951,9551,9342,9212,8783,8317,7790,7276,6646,6093,5596,5281,4949,4729,4538,4448
동구,계,20-24세,21893,23360,23143,20993,18922,17291,15957,15104,14900,15007,15004,14685,14587,14469,14046,13561,12940,12305,11492,10700,10010
동구,계,25-29세,15312,15864,16224,16966,17362,17113,17017,16344,14826,13730,12961,12515,12216,12172,12341,12374,12164,12128,12023,11732,11351
동구,계,30-34세,12719,12991,13065,13151,13131,13323,13440,13601,13965,13954,13582,13316,12663,11621,10920,10430,10232,10029,10042,10205,10221
동구,계,35-39세,12766,11944,11257,10971,10938,11148,11458,11841,12206,12394,12622,12615,12624,12751,12607,12213,11870,11272,10427,9832,9442
동구,계,40-44세,15845,15558,14915,13845,12696,11681,11021,10686,10676,10792,11080,11440,11791,12103,12275,12439,12351,12305,12335,12146,11741
동구,계,45-49세,16892,16150,15276,15058,15062,15084,14862,14430,13606,12692,11850,11275,10969,10975,11073,11353,11721,12067,12358,12526,12655
동구,계,50-54세,18492,18696,18326,17860,17177,16443,15764,15054,14989,15092,15211,15081,14722,13956,13106,12312,11753,11465,11487,11580,11864
