시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
강원,계,계,1527211,1525473,1518110,1517186,1516330,1515993,1516107,1516557,1517257,1518091,1518953,1519724,1520323,1520660,1520683,1520378,1519587,1518221,1516248,1513593,1510305
강원,계,0 - 4세,41571,39449,37126,35344,34279,33678,33610,34156,35147,36303,37281,38060,38640,39031,39263,39373,39304,39004,38521,37898,37157
강원,계,5 - 9세,56134,52945,50137,47272,43952,41379,39258,37338,35446,34295,33629,33541,34100,35123,36328,37354,38185,38820,39269,39557,39718
강원,계,10 - 14세,63731,62568,61138,60386,58504,56087,53195,50687,47668,44201,41511,39284,37282,35340,34149,33456,33366,33930,34968,36190,37237
강원,계,15 - 19세,68145,66246,63783,63190,63849,63778,62844,61842,61191,59428,57077,54197,51649,48529,44927,42113,39779,37685,35688,34469,33723
강원,계,20-24세,93072,88687,84394,77228,71220,68189,66752,65080,64900,65704,65778,64980,64137,63664,62093,59894,57065,54469,51170,47406,44467
강원,계,25-29세,89245,89974,89117,88796,86928,83206,78897,74996,69372,64853,62812,62154,61021,60991,61830,62026,61374,60713,60485,59180,57206
강원,계,30-34세,79964,83135,84885,86648,88521,88072,87619,86405,85736,83780,80322,76325,72781,67750,63684,61837,61379,60403,60415,61265,61537
강원,계,35-39세,83666,79870,78134,78440,78888,81502,84347,86572,88308,90090,89554,88953,87560,86721,84704,81288,77293,73799,68926,64895,63022
강원,계,40-44세,102430,102264,99373,95244,90906,85991,82310,81186,81479,81989,84640,87551,89856,91621,93370,92780,92068,90543,89582,87493,84023
강원,계,45-49세,111584,106719,101940,101368,102095,104273,104605,102891,98860,94487,89533,85790,84598,84870,85426,88117,91100,93488,95299,97071,96475
강원,계,50-54세,129710,129471,126891,123791,119055,114775,110322,106133,105838,106933,109423,110005,108480,104436,99905,94798,90895,89589,89857,90469,93237
강원,계,55-59세,127652,125387,129346,131510,133174,133921,134546,132877,129839,125123,120753,116295,112173,112068,113492,116289,117136,115784,111683,106933,101600
강원,계,60-64세,145461,147003,143014,138466,133539,132931,131100,136034,138514,140519,141804,142858,141357,138320,133520,128953,124377,120249,120308,122092,125245
강원,계,65-69세,110691,120198,128668,135132,144324,146547,148805,146092,142011,137500,137057,135431,140555,143293,145565,147233,148554,147142,144083,139191,134485
강원,계,70-74세,72115,74832,79838,90514,100426,107266,116615,125256,131797,140955,143349,145827,143456,139805,135742,135468,134094,139296,142170,144607,146508
강원,계,75-79세,62543,62670,62733,62329,63441,67092,69976,74985,84923,94109,100666,109505,117716,124168,133011,135480,138107,136103,132975,129500,129443
