시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
광주,계,계,1469502,1463254,1455515,1446570,1437279,1428218,1419477,1411029,1402772,1394663,1386641,1378645,1370574,1362390,1354093,1345634,1336940,1327904,1318525,1308839,1298876
광주,계,0 - 4세,44436,41108,38028,35918,34254,33304,33296,34050,35222,36593,37762,38695,39392,39865,40138,40259,40160,39781,39194,38445,37577
광주,계,5 - 9세,66477,62646,58725,54049,49215,45372,42014,39274,37091,35371,34392,34357,35057,36179,37510,38638,39531,40190,40632,40879,40980
광주,계,10 - 14세,73944,72947,71981,71191,69217,66289,62421,58458,53831,49030,45210,41874,39167,36990,35273,34316,34287,34959,36049,37348,38445
광주,계,15 - 19세,76961,75145,72950,72506,73264,72900,71900,70970,70229,68317,65414,61594,57721,53202,48512,44790,41545,38919,36778,35104,34197
광주,계,20-24세,107422,102581,97505,89494,81976,78678,77168,75659,75334,76080,75887,75059,74281,73661,71760,68849,65091,61356,56937,52318,48718
광주,계,25-29세,108160,107969,106356,105127,103275,98576,93155,88082,81491,75697,73596,72841,71673,71338,72210,72231,71550,70831,70308,68568,65865
광주,계,30-34세,89428,93212,96387,99390,101672,101685,101045,99270,97677,95467,90770,85724,81286,75590,70557,68841,68298,67244,66970,67925,68013
광주,계,35-39세,95062,89174,85429,84846,84958,87650,91133,94354,97008,99023,98869,98020,96101,94437,92150,87557,82745,78597,73248,68472,66866
광주,계,40-44세,116831,116657,113730,107413,101677,94395,88611,85439,84965,85092,87707,91090,94182,96667,98551,98312,97356,95378,93692,91369,86825
광주,계,45-49세,121421,116800,113198,113170,114162,115475,115418,112723,106656,101132,94086,88553,85548,85162,85316,87891,91209,94223,96592,98394,98107
광주,계,50-54세,129516,131222,129804,127456,121787,118299,113771,110251,110392,111516,112940,112984,110437,104611,99309,92538,87305,84500,84231,84423,86982
광주,계,55-59세,112649,112554,118247,120509,122691,124326,125782,124039,121773,116353,113097,108790,105535,105827,107031,108524,108648,106267,100746,95758,89353
광주,계,60-64세,105368,108598,107839,105901,105193,106976,106697,111750,113784,115827,117381,118768,117071,114925,109797,106809,102761,99809,100255,101518,103060
광주,계,65-69세,72383,78293,85035,90424,97176,99251,102289,101281,99551,98944,100607,100323,105187,107063,109037,110566,111951,110365,108402,103629,100919
광주,계,70-74세,56063,56360,57416,61249,64788,68080,73731,79988,85148,91611,93620,96618,95713,94196,93701,95282,95073,99806,101624,103611,105168
광주,계,75-79세,41013,42442,45305,47645,50129,51099,51481,52583,56298,59680,62880,68197,74044,78975,85076,86973,89868,89083,87843,87574,89107
광주,계,80-84세,30604,32343,32578,33424,33030,34150,35532,37862,39909,41971,42958,43435,44532,47973,50999,53935,58625,63761,68294,73739,75385
광주,계,85-89세,15220,16255,17351,18300,19474,21507,22925,23023,23571,23202,24258,25433,27106,28648,30066,30953,31444,32415,35266,37645,40039
광주,계,90-94세,5310,5663,6207,6859,7507,8193,8888,9504,10071,10734,11903,12699,12682,12943,12671,13449,14225,15161,16077,16816,17477
광주,계,95세이상,1234,1285,1444,1699,1834,2013,2220,2469,2771,3023,3304,3591,3859,4138,4429,4921,5268,5259,5387,5304,5793
동구,계,계,108345,112307,111797,111784,111800,111957,112265,112679,113053,113396,113675,113890,114006,114033,113985,113823,113591,113236,112804,112303,111751
동구,계,0 - 4세,3326,3487,3207,3056,2951,2857,2893,3023,3179,3335,3465,3566,3638,3691,3718,3731,3722,3689,3631,3563,3483
동구,계,5 - 9세,3928,4048,3971,3711,3473,3332,3189,3022,2926,2849,2784,2822,2919,3033,3160,3263,3345,3401,3443,3462,3474
동구,계,10 - 14세,3370,3644,3730,3922,3942,3995,3874,3804,3536,3309,3142,2972,2792,2686,2592,2526,2560,2633,2728,2837,2923
동구,계,15 - 19세,4522,3866,3545,3558,3747,3811,3962,4084,4269,4268,4265,4077,3952,3646,3395,3184,2983,2796,2681,2569,2494
동구,계,20-24세,9417,10013,9101,7977,7039,6445,5928,5905,5873,6038,6072,6157,6176,6264,6150,6014,5712,5484,5074,4726,4418
동구,계,25-29세,8384,8978,9225,9306,9240,8835,8490,7699,7047,6491,6217,6048,6097,5999,6166,6158,6179,6111,6127,5963,5788
동구,계,30-34세,6961,7720,7849,8218,8455,8623,8666,8664,8535,8370,7956,7593,7004,6596,6106,5925,5836,5849,5739,5906,5871
동구,계,35-39세,6840,7097,6949,7046,7050,7333,7678,7977,8331,8532,8632,8572,8476,8295,8125,7714,7334,6831,6475,5991,5861
동구,계,40-44세,7250,7599,7559,7453,7360,7015,6806,6696,6764,6770,7050,7351,7606,7889,8032,8084,7987,7872,7689,7530,7134
동구,계,45-49세,6826,6973,6900,6945,7143,7436,7549,7621,7463,7287,6881,6621,6454,6485,6482,6736,7001,7228,7472,7591,7622
동구,계,50-54세,7875,8230,8128,8000,7723,7531,7413,7323,7373,7588,7846,7919,7920,7665,7395,6942,6644,6446,6467,6462,6704
동구,계,55-59세,7705,7664,7919,8078,8249,8459,8662,8605,8472,8177,7958,7786,7623,7648,7836,8045,8091,8057,7747,7429,6959
동구,계,60-64세,8422,8506,8342,8126,7955,8027,7940,8240,8432,8603,8795,8966,8875,8723,8406,8163,7960,7761,7778,7955,8148
동구,계,65-69세,6928,7408,7762,7975,8387,8426,8530,8480,8324,8203,8303,8236,8551,8748,8907,9084,9237,9136,8974,8645,8390
동구,계,70-74세,5754,5780,5781,6088,6356,6632,7116,7557,7874,8359,8455,8604,8576,8420,8312,8413,8358,8685,8889,9049,9229
동구,계,75-79세,4591,4662,4944,5122,5343,5383,5384,5427,5761,6052,6349,6836,7288,7646,8155,8285,8466,8453,8307,8219,8322
동구,계,80-84세,3616,3852,3874,3954,3882,3938,4040,4278,4438,4632,4686,4711,4777,5107,5393,5687,6138,6570,6946,7443,7587
동구,계,85-89세,1791,1898,2028,2170,2322,2578,2759,2766,2827,2772,2862,2964,3152,3285,3439,3505,3550,3628,3919,4158,4416
동구,계,90-94세,683,717,795,853,932,1026,1085,1174,1262,1358,1514,1617,1617,1653,1618,1696,1777,1895,1988,2086,2144
동구,계,95세이상,156,165,188,226,251,275,301,334,367,403,443,472,513,554,598,668,711,711,730,719,784
서구,계,계,287046,285428,281965,279313,276742,274294,271983,269795,267684,265648,263671,261752,259888,258055,256235,254428,252623,250769,248878,246940,244926
서구,계,0 - 4세,7423,6868,6182,5720,5400,5238,5221,5338,5525,5756,5961,6130,6262,6359,6423,6463,6463,6414,6330,6221,6087
서구,계,5 - 9세,11683,11010,10267,9454,8600,7821,7138,6579,6126,5804,5634,5611,5723,5905,6132,6329,6492,6615,6700,6752,6781
서구,계,10 - 14세,13759,13502,13172,12946,12458,11895,11105,10338,9512,8644,7878,7223,6692,6257,5946,5780,5758,5871,6054,6280,6474
서구,계,15 - 19세,14041,14314,13860,13589,13621,13356,13135,12910,12723,12274,11734,10969,10240,9438,8588,7848,7223,6712,6295,6001,5843
서구,계,20-24세,19085,17325,16674,15799,14658,14381,14474,14013,13920,14037,13902,13791,13622,13500,13078,12531,11785,11094,10281,9386,8636
서구,계,25-29세,22270,21834,21240,20465,19966,18923,17755,17074,16031,14872,14616,14563,14148,14151,14294,14274,14202,14029,13933,13542,13025
서구,계,30-34세,17031,18115,18570,19213,19698,19685,19380,18996,18475,18123,17122,16122,15458,14397,13411,13212,13125,12822,12865,13004,13031
서구,계,35-39세,17427,16176,15428,15268,15143,15665,16394,16919,17472,17872,17840,17592,17262,16832,16508,15569,14739,14102,13114,12253,12056
서구,계,40-44세,22136,22000,21251,19940,18822,17343,16119,15507,15365,15279,15794,16466,16959,17483,17832,17779,17538,17212,16806,16479,15563
서구,계,45-49세,24258,23138,21993,21632,21642,21723,21600,21052,19848,18812,17413,16277,15719,15598,15543,16063,16706,17199,17700,18026,17966
서구,계,50-54세,27319,27364,26650,25847,24272,23288,22218,21316,21124,21255,21422,21385,20897,19750,18764,17414,16352,15833,15741,15719,16243
서구,계,55-59세,23372,23508,24521,24881,25307,25470,25433,24900,24271,22913,22128,21192,20420,20341,20539,20757,20761,20306,19220,18291,17011
서구,계,60-64세,21798,22556,22108,21607,21318,21640,21617,22630,22999,23438,23630,23675,23240,22702,21493,20837,19995,19323,19323,19559,19803
서구,계,65-69세,15248,16329,17604,18623,19888,20207,20807,20480,20087,19870,20207,20186,21160,21506,21934,22147,22256,21888,21416,20331,19762
서구,계,70-74세,11581,11702,11886,12744,13480,14136,15150,16442,17418,18647,18979,19586,19301,18977,18802,19134,19122,20067,20413,20845,21076
서구,계,75-79세,8414,8776,9260,9699,10253,10464,10554,10791,11598,12288,12926,13899,15113,16055,17230,17552,18145,17899,17644,17534,17865
서구,계,80-84세,6056,6440,6494,6696,6633,6891,7207,7640,8026,8486,8691,8796,9030,9759,10366,10949,11815,12881,13744,14798,15082
서구,계,85-89세,2929,3165,3353,3549,3789,4225,4535,4555,4679,4609,4833,5099,5401,5692,6002,6182,6294,6486,7081,7555,8027
서구,계,90-94세,961,1063,1170,1315,1454,1564,1719,1840,1952,2086,2330,2497,2496,2553,2495,2654,2823,2990,3165,3329,3462
서구,계,95세이상,255,243,282,326,340,379,422,475,533,583,631,693,745,800,855,954,1029,1026,1053,1035,1133
남구,계,계,216586,212405,210477,208412,206663,205239,204084,203184,202246,201273,200307,199318,198300,197266,196214,195127,194019,192883,191697,190473,189209
남구,계,0 - 4세,6116,5470,4980,4623,4408,4269,4248,4331,4493,4687,4865,5015,5130,5216,5274,5306,5308,5267,5200,5108,4999
남구,계,5 - 9세,10297,9565,8947,8228,7483,6900,6385,5975,5625,5395,5236,5211,5300,5479,5694,5888,6042,6161,6244,6292,6317
