시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
경북,계,계,2625507,2611408,2597229,2583376,2570057,2557719,2546106,2534922,2523951,2513041,2502047,2490827,2479227,2467190,2454768,2441943,2428628,2414750,2400243,2385145,2369443
경북,계,0 - 4세,69153,63152,57866,54307,51951,50600,49920,50107,50911,51983,52831,53455,53851,54044,54072,53991,53709,53151,52385,51459,50404
경북,계,5 - 9세,101657,94894,87838,79963,71416,64772,59572,55238,51891,49666,48393,47788,48049,48916,50052,50970,51664,52131,52393,52493,52477
경북,계,10 - 14세,109042,107916,107006,106512,103740,98866,92664,86387,78826,70567,64141,59070,54819,51523,49308,48032,47441,47736,48650,49843,50813
경북,계,15 - 19세,112979,111700,109063,108323,109646,110415,109611,108938,108445,105695,100907,94805,88583,81011,72747,66323,61212,56923,53570,51283,49938
경북,계,20-24세,145660,138089,132090,121317,112383,108578,107781,105527,105111,106543,107324,106484,105803,105274,102748,98436,92948,87413,80567,73257,67733
경북,계,25-29세,145776,144225,142458,140082,135982,128762,120980,115232,106756,99884,97206,96848,94912,94729,96154,96803,95901,95319,95078,93002,89409
경북,계,30-34세,137720,140610,142384,142750,144067,141920,139217,135486,133179,129201,122596,115665,110528,102679,96334,93859,93579,91768,91689,93094,93706
경북,계,35-39세,151494,143309,138336,136792,134871,136334,138769,140605,141294,142742,140647,138011,134354,132065,128141,121739,115038,110001,102295,96032,93566
경북,계,40-44세,181658,181791,178499,169310,160105,149849,141651,137163,136096,134675,136598,139418,141537,142437,143984,141948,139360,135732,133441,129522,123170
경북,계,45-49세,191513,183615,176634,176644,178699,182626,183173,180227,171234,162160,152036,143968,139660,138841,137719,139941,143066,145440,146528,148192,146215
경북,계,50-54세,222258,220947,215999,210525,202540,194838,187470,180614,180751,183039,187160,187868,185064,176104,166960,156772,148640,144366,143703,142804,145288
경북,계,55-59세,221659,218471,224984,226270,227660,228263,227778,223371,217866,209742,201818,194302,187381,187584,190125,194501,195426,192743,183706,174321,163908
경북,계,60-64세,239040,245278,241437,235763,228100,226841,224378,231725,233521,235341,236425,236294,232020,226455,218151,209970,202284,195308,195619,198491,203180
경북,계,65-69세,188972,196574,208534,220383,234847,239365,246088,243186,237824,230548,229443,227229,234785,236978,239132,240569,240684,236566,231000,222628,214337
경북,계,70-74세,141683,148004,151431,161998,175218,183363,191304,203837,215720,230061,234798,241561,238893,233916,227160,226266,224403,232064,234578,237020,238749
경북,계,75-79세,101816,101077,106671,113729,122560,130152,136491,140207,150498,163042,171080,178938,191000,202592,216400,221140,227737,225404,221121,215299,214781
경북,계,80-84세,91414,96097,94870,92126,85166,84755,85402,90803,97040,104268,111125,116974,120583,130015,141070,148569,155878,166790,177622,190280,194781
경북,계,85-89세,51323,53356,56641,58948,60472,64240,68366,67906,66088,60970,61461,62884,67429,72261,77186,82702,87524,90655,98402,106952,113228
경북,계,90-94세,16925,18184,19889,22599,25084,26847,28421,30501,31945,32971,35317,37810,37565,36552,33502,34469,36060,39107,42012,44429,48023
경북,계,95세이상,3765,4119,4599,5035,5550,6333,7070,7862,8955,9943,10741,11455,12411,13214,13823,14943,16074,16133,15884,14744,15737
포항시,계,계,498424,492496,492823,491329,489413,487157,484557,481600,478574,475454,472254,468941,465479,461893,458234,454530,450744,446845,442864,438784,434566
포항시,계,0 - 4세,13653,12462,11627,10980,10506,10239,10082,10098,10265,10489,10659,10772,10836,10847,10822,10776,10690,10550,10384,10191,9972
포항시,계,5 - 9세,21954,20470,19072,17380,15504,14148,13028,12043,11282,10728,10415,10246,10273,10454,10698,10891,11024,11109,11138,11130,11090
포항시,계,10 - 14세,23254,23307,23340,23361,22890,21846,20492,19069,17329,15440,14074,12949,11980,11230,10679,10368,10210,10252,10449,10707,10908
포항시,계,15 - 19세,21146,21649,21661,21657,22244,22435,22525,22514,22473,21957,20930,19619,18247,16568,14779,13519,12451,11539,10836,10316,10029
포항시,계,20-24세,25562,22075,21220,19773,18534,18352,18944,18701,18752,19313,19440,19461,19354,19288,18838,17942,16828,15736,14373,12954,11973
포항시,계,25-29세,29125,28314,28376,27647,26286,24490,22329,21164,19742,18428,18114,18355,17916,17955,18372,18410,18377,18226,18213,17818,17047
