시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
경기,계,계,13689761,13781261,13861071,13948740,14026937,14099503,14166211,14227573,14283573,14333721,14378111,14416703,14449297,14475519,14495365,14509365,14516185,14514763,14505838,14489372,14465444
경기,계,0 - 4세,447054,419470,393855,373459,358108,349446,347956,354781,368136,383719,397745,409885,420025,428214,434650,439615,442177,441510,438204,432762,425562
경기,계,5 - 9세,627455,597584,567886,528640,487077,453878,427185,401897,380385,364259,355287,353947,361085,374778,390687,405001,417384,427752,436132,442719,447818
경기,계,10 - 14세,661529,658519,655752,659319,648799,628640,599204,570569,530668,488607,454947,427774,402119,380392,364115,355118,353855,361041,374709,390567,404817
경기,계,15 - 19세,616076,633823,635089,642049,660062,666836,662822,660583,663470,652180,631411,601368,572418,532139,489901,456168,428850,403023,381280,364981,355999
경기,계,20-24세,793121,747936,715262,679575,648001,643350,655913,654689,657299,672447,677469,672735,669481,671263,659394,638181,608025,579204,539700,498689,465813
경기,계,25-29세,981754,968838,948431,932875,911490,875449,831776,799029,758123,719282,707547,713416,706873,706717,720261,724471,719205,715174,716141,703405,681127
경기,계,30-34세,965241,1007120,1034170,1056058,1071555,1063999,1050721,1031739,1015602,993367,954979,908434,872320,825939,780459,763319,765161,755887,754472,767574,771842
경기,계,35-39세,1012424,984237,975714,986164,999397,1033427,1070843,1099475,1121182,1136974,1129431,1115359,1095272,1078115,1054818,1014021,964350,925058,874507,824535,804406
경기,계,40-44세,1164847,1181772,1175928,1136540,1096593,1049521,1016719,1008043,1016561,1028490,1061853,1099430,1128038,1149365,1165085,1157357,1142740,1121998,1104330,1080553,1038346
경기,계,45-49세,1142461,1114253,1094695,1116315,1147707,1184938,1202422,1196450,1154946,1112871,1064011,1029443,1019211,1026723,1037823,1070568,1107856,1136054,1156922,1172494,1164692
경기,계,50-54세,1228171,1250627,1242954,1226954,1190188,1157270,1129847,1108814,1128500,1158466,1194382,1210625,1203559,1160994,1117868,1068237,1032839,1021743,1028617,1039186,1071419
경기,계,55-59세,1084096,1081689,1138926,1161444,1200369,1232400,1255166,1246145,1228246,1189697,1155092,1126241,1104042,1122602,1151531,1186400,1201674,1193897,1150905,1107529,1057932
경기,계,60-64세,1018557,1062311,1068744,1074916,1062369,1075274,1072226,1125785,1146740,1183995,1214276,1235220,1224989,1206168,1167041,1132065,1102948,1080579,1098555,1126618,1160449
경기,계,65-69세,696993,759261,828778,886100,960187,995445,1037426,1040219,1043801,1029507,1040477,1036753,1088447,1108251,1144185,1173017,1192666,1182170,1163501,1125103,1090971
경기,계,70-74세,456021,476897,505486,561866,624462,673593,733221,798119,852082,921939,954137,993153,994522,997164,982851,993043,989743,1039826,1059031,1093966,1121688
경기,계,75-79세,341821,355203,373575,394760,411444,429190,450042,477129,529972,587898,633778,689289,749470,800141,865343,894736,931019,931665,934348,921379,931213
경기,계,80-84세,257507,273064,278716,286400,284740,297664,311053,327628,346750,361041,377961,397154,421395,469008,519635,560616,609773,662772,708944,767342,792985
경기,계,85-89세,135604,145059,156864,166448,176525,192110,205755,210662,216299,214737,226025,237624,250827,266186,276557,291243,307334,326803,365491,404625,437358
경기,계,90-94세,47176,50801,55850,62740,70282,77386,83985,91337,97190,103357,113176,121721,124587,127688,126295,134449,142726,151093,160892,166414,176792
경기,계,95세이상,11853,12797,14396,16118,17582,19687,21929,24480,27621,30888,34127,37132,40617,43672,46866,51740,55860,57514,59157,58931,64215
