시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
경남,계,계,3286961,3266517,3249033,3230336,3212076,3194322,3176698,3159020,3140935,3122331,3103220,3083617,3063401,3042568,3021264,2999646,2977596,2955011,2932080,2908756,2885000
경남,계,0 - 4세,92178,82646,75597,70293,66513,64536,63490,63284,63902,64891,65608,66046,66226,66184,65987,65709,65241,64480,63512,62380,61112
경남,계,5 - 9세,147336,137372,126332,113956,101080,90195,81692,75144,69966,66254,64305,63306,63196,63952,65087,65949,66519,66824,66897,66802,66609
경남,계,10 - 14세,162078,159788,158223,157063,152131,144669,135275,125066,113058,100518,89931,81661,75231,70111,66435,64493,63500,63443,64280,65501,66444
경남,계,15 - 19세,144605,150237,152153,152870,156609,157844,155726,154462,153347,148526,141395,132341,122456,110774,98661,88594,80738,74614,69718,66199,64339
경남,계,20-24세,168508,151561,140463,131052,124533,124374,128415,128213,127953,130994,131687,129888,128921,127881,123946,118248,110827,102916,93643,84320,76794
경남,계,25-29세,187421,180752,174562,167102,157964,146006,134660,127314,119494,112955,111796,113834,112241,111942,114625,114949,113486,112947,112466,109440,105018
경남,계,30-34세,182881,186388,187943,187274,187110,183304,177166,170530,164732,157388,147216,137372,130690,122556,115398,113588,114781,112835,112603,115119,115443
경남,계,35-39세,210068,196897,189009,185701,182540,184187,187016,188310,188291,188637,185190,179514,173428,168159,161410,151696,142135,135418,126869,119240,117058
경남,계,40-44세,260158,260566,254682,240584,225123,209498,196296,188708,186028,183479,185698,189024,190760,191132,191787,188545,183100,177267,172237,165759,156198
경남,계,45-49세,264389,254523,248300,249840,254824,260346,261001,255424,241617,226472,211192,198347,191151,188860,186709,189320,193019,195104,195770,196656,193560
경남,계,50-54세,297040,298826,293139,286284,275533,264815,255252,249024,250628,255749,261407,262237,256874,243293,228386,213368,200776,193872,191876,190043,192973
경남,계,55-59세,274016,271431,285407,289981,294404,296898,298940,293112,286348,275659,264989,255562,249400,251074,256354,262157,263154,257980,244595,229884,215094
경남,계,60-64세,283155,291767,286472,282052,272946,273141,270479,284156,288584,293009,295642,297750,292061,285443,274880,264324,255071,249008,250791,256226,262177
경남,계,65-69세,209568,223940,240546,252711,271919,278605,286901,281707,277381,268506,268649,266112,279453,283798,288268,291034,293207,287731,281346,271016,260708
경남,계,70-74세,148350,153935,158881,173474,189647,201823,215861,232107,243994,262525,268936,276915,271959,267940,259577,259828,257608,270576,274900,279453,282355
경남,계,75-79세,103749,106763,113742,120554,129395,136264,142041,147195,161115,176235,187809,201009,216184,227638,245178,251204,258740,254101,250636,243290,243827
경남,계,80-84세,85391,89606,88826,89632,84967,86756,90004,96350,102475,109743,115956,121283,126040,138621,151789,162142,173759,186971,197545,213306,218640
경남,계,85-89세,47115,49046,52078,54664,56995,60551,64050,63786,64508,61038,62986,65994,70972,75845,80845,85826,90190,94068,104240,114301,122507
경남,계,90-94세,15666,16909,18592,20663,22726,24713,25997,27931,29470,30868,33088,35127,34966,35413,33290,34950,37166,40214,43202,45647,48814
경남,계,95세이상,3289,3564,4086,4586,5117,5797,6436,7197,8044,8885,9740,10295,11192,11952,12652,13722,14579,14642,14954,14174,15330
