시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
제주,계,계,674523,676557,674661,675862,676849,677743,678512,679117,679531,679770,679814,679684,679413,678994,678444,677788,676988,676019,674880,673568,672105
제주,계,0 - 4세,22745,20911,19308,18162,17326,17002,16890,17097,17494,17983,18391,18711,18946,19111,19215,19283,19280,19181,19003,18761,18466
제주,계,5 - 9세,34168,32506,30598,28577,26358,24216,22425,20845,19605,18682,18281,18126,18341,18792,19360,19844,20231,20529,20744,20887,20984
제주,계,10 - 14세,36333,36135,35870,35958,35244,34034,32643,31028,28890,26592,24429,22651,21071,19824,18884,18477,18333,18573,19052,19641,20145
제주,계,15 - 19세,31316,32761,33460,33667,34520,34889,34718,34621,34681,33949,32774,31413,29817,27728,25513,23457,21789,20308,19140,18265,17895
제주,계,20-24세,35977,33228,31092,29664,28711,29120,30095,30168,30147,30874,31133,30930,30794,30800,30116,29110,27893,26471,24660,22767,21058
제주,계,25-29세,43482,42357,40386,38964,37143,34886,32620,31360,29852,28573,28502,28953,28714,28636,29288,29447,29206,29084,29114,28506,27609
제주,계,30-34세,39884,42021,43213,44089,44786,44361,43102,41679,40558,39017,36989,34851,33531,31788,30223,29874,30126,29787,29686,30314,30462
제주,계,35-39세,45347,42997,41401,41349,41503,42606,44508,45902,46773,47498,47098,45927,44635,43604,42147,40149,37961,36509,34540,32711,32148
제주,계,40-44세,55825,56823,55720,53377,50742,47766,45326,44275,44280,44487,45660,47600,48974,49844,50592,50195,49063,47827,46821,45395,43363
제주,계,45-49세,56197,54288,52911,53791,55537,57179,58161,57416,55050,52393,49440,47041,46035,46074,46306,47535,49488,50835,51708,52469,52073
제주,계,50-54세,60751,62173,61790,60903,58654,56878,54977,53786,54631,56320,57904,58832,58067,55714,53070,50163,47821,46863,46936,47193,48458
제주,계,55-59세,52885,53071,55377,57159,58796,60807,61977,61759,60799,58550,56774,54887,53717,54547,56191,57743,58648,57883,55564,52959,50119
제주,계,60-64세,48758,51165,51680,51543,52063,52422,52384,54732,56440,57993,59906,60969,60706,59715,57518,55778,53953,52831,53663,55275,56798
제주,계,65-69세,35442,38335,41511,43553,45933,47560,49764,50225,50008,50404,50652,50619,52910,54533,56007,57828,58813,58537,57570,55465,53807
제주,계,70-74세,25475,25694,26081,29047,31623,34013,36762,39868,41877,44253,45856,47936,48320,48098,48443,48646,48654,50889,52455,53885,55652
제주,계,75-79세,20252,20996,21937,22431,23214,23561,23948,24483,27330,29789,32077,34678,37617,39593,41927,43489,45470,45831,45654,46010,46209
제주,계,80-84세,15834,16384,16511,16769,16748,17331,18091,18949,19448,20187,20585,21029,21600,24197,26432,28519,30875,33524,35409,37601,39064
제주,계,85-89세,9411,9756,10259,10729,11261,11889,12380,12578,12801,12809,13334,13993,14702,15144,15749,16146,16608,17167,19351,21211,22941
제주,계,90-94세,3461,3942,4437,4824,5235,5554,5822,6185,6495,6844,7263,7590,7732,7875,7878,8279,8757,9241,9552,9943,10264
제주,계,95세이상,980,1014,1119,1306,1452,1669,1919,2161,2372,2573,2766,2948,3184,3377,3585,3826,4019,4149,4258,4310,4590
제주시,계,계,494228,495671,494342,494747,495063,495384,495688,495937,496064,496078,495937,495679,495319,494854,494288,493623,492863,491978,490967,489833,488596
제주시,계,0 - 4세,17210,15898,14710,13934,13352,13171,13120,13308,13638,14026,14342,14582,14750,14862,14929,14970,14961,14879,14734,14542,14316
제주시,계,5 - 9세,25369,24088,22626,21049,19408,17879,16587,15478,14650,14008,13771,13680,13868,14222,14650,15012,15291,15501,15652,15747,15814
제주시,계,10 - 14세,26960,26954,26740,26683,26060,25043,23951,22731,21158,19511,17971,16683,15556,14705,14031,13779,13688,13883,14248,14688,15060
제주시,계,15 - 19세,24199,24836,25178,25206,25752,25976,25954,25836,25828,25248,24302,23263,22067,20528,18923,17426,16186,15111,14291,13649,13417
제주시,계,20-24세,28592,26707,24889,23513,22607,22714,23131,23235,23168,23707,23896,23817,23663,23655,23115,22306,21388,20307,18934,17506,16204
