시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
전북,계,계,1777197,1768352,1758610,1746890,1735370,1724427,1714019,1704031,1694330,1684841,1675537,1666309,1657088,1647826,1638521,1629141,1619600,1609795,1599735,1589404,1578795
전북,계,0 - 4세,44246,40684,37969,35808,34130,33407,33121,33456,34329,35394,36308,37045,37603,37988,38221,38333,38250,37909,37364,36660,35824
전북,계,5 - 9세,69841,64943,60108,54389,49035,44652,41191,38445,36257,34564,33822,33531,33886,34791,35894,36838,37611,38199,38612,38867,39002
전북,계,10 - 14세,80845,79517,78057,77183,73982,69744,64971,60341,54713,49412,45049,41600,38840,36627,34914,34153,33853,34215,35137,36261,37228
전북,계,15 - 19세,86182,84436,82038,80462,81146,80987,79789,78351,77509,74370,70282,65633,61078,55531,50312,45986,42565,39822,37593,35864,35091
전북,계,20-24세,113069,107264,101758,94126,87126,84040,82228,80185,79056,79997,79958,78912,77657,76959,74155,70637,66491,62432,57427,52761,48869
전북,계,25-29세,105103,105771,105614,104440,102199,97359,92141,87408,81408,75924,73822,72656,71181,70484,71607,71597,70752,69800,69432,67172,64422
전북,계,30-34세,88998,92274,95018,96824,98555,98538,97943,96559,95354,93253,88937,84394,80280,74935,70049,68298,67378,66153,65675,66830,66825
전북,계,35-39세,96564,91080,88054,87384,86971,88497,91234,93386,95149,96812,96702,95966,94464,93211,91124,86968,82601,78648,73497,68765,67081
전북,계,40-44세,120156,118483,115958,109958,104008,97437,91908,88872,88361,88066,89735,92581,94774,96553,98204,98032,97192,95593,94268,92143,87992
전북,계,45-49세,133767,128675,122505,121234,121012,121892,120639,118381,112517,106656,100136,94666,91725,91294,91085,92876,95851,98139,99980,101653,101444
전북,계,50-54세,150051,151772,149637,146697,140642,135232,130183,124173,123225,123353,124583,123649,121585,115790,109937,103409,97943,95052,94697,94582,96504
전북,계,55-59세,142808,140844,147515,148489,150567,151688,153450,151441,148532,142551,137197,132220,126396,125710,126145,127691,127057,125178,119415,113536,106960
