시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
전라남도,계,계,1768620,1757262,1746941,1737587,1728902,1720756,1713091,1705773,1698534,1691353,1684207,1677115,1670005,1662850,1655614,1648264,1640703,1633004,1625140
전라남도,계,0 - 4세,48568,45151,42189,39951,38891,38455,38490,39187,40079,40818,41390,41788,42009,42074,41917,41487,40834,40004,39045
전라남도,계,5 - 9세,69825,65221,60968,56103,50862,46767,43504,40676,38568,37599,37228,37373,38202,39244,40134,40854,41397,41760,41956
전라남도,계,10 - 14세,78777,78122,77339,76460,73724,69742,65265,61072,56219,50991,46919,43649,40820,38737,37795,37462,37686,38620,39766
전라남도,계,15 - 19세,78695,77682,75877,75713,77266,77950,77254,76510,75614,72916,69098,64782,60692,55878,50718,46746,43530,40754,38751
전라남도,계,20 - 24세,83576,79470,76651,72306,69143,67480,66983,65800,65820,67124,67551,66846,66066,65135,62922,59933,56429,53055,49007
전라남도,계,25 - 29세,93332,88905,84548,81177,76991,73235,69959,66976,62677,59580,57999,57737,56763,56902,57972,58142,57461,56922,56446
전라남도,계,30 - 34세,84325,86359,88183,89161,89743,87835,85123,82156,79581,76128,72615,68940,65684,61411,58233,56604,56443,55582,55729
전라남도,계,35 - 39세,95451,89052,85018,83518,82670,84064,86411,88402,89577,90426,88900,86618,83975,81620,78424,74887,70921,67479,63085
전라남도,계,40 - 44세,117770,117599,115131,109278,103268,96246,90150,86455,85315,84751,86379,88954,91101,92411,93439,92115,90013,87487,85200
전라남도,계,45 - 49세,127251,122161,118041,118172,119119,120577,120679,118387,112588,106575,99571,93529,89990,89057,88675,90491,93282,95596,97044
전라남도,계,50 - 54세,150050,150155,146662,142941,136765,132181,127105,122992,123151,124308,126052,126391,124231,118401,112262,105128,98966,95448,94650
전라남도,계,55 - 59세,150088,148454,153403,154567,155189,156274,156855,153722,150143,143955,139203,134002,129798,130011,131443,133521,134110,132029,126051
전라남도,계,60 - 64세,157548,161619,159794,156082,153800,154391,152952,158190,159833,160940,162540,163497,160630,157134,150889,145970,140664,136386,136672
전라남도,계,65 - 69세,117957,126616,137084,145239,155492,159006,163226,161616,158122,155946,156540,155302,160752,162774,164257,166216,167425,164768,161333
전라남도,계,70 - 74세,101673,101050,101613,106950,111738,116147,124848,135192,143371,153585,157227,161504,160084,156844,154854,155491,154489,160052,162349
전라남도,계,75 - 79세,82696,81454,85171,88287,92537,94025,93816,94736,100242,105203,109841,118276,128148,136153,146023,149619,153838,152651,149840
전라남도,계,80 - 84세,74191,77356,74378,72648,69206,69012,68707,72128,75034,78702,80320,80494,81635,87005,91758,96358,104021,112843,120336
전라남도,계,85 - 89세,39665,42242,44601,46882,48565,51594,54104,52004,51096,48770,49359,49851,52534,54863,57500,59040,59495,60710,65447
전라남도,계,90 - 94세,13999,15153,16480,17703,19094,20485,21912,23251,24568,25513,27355,28855,27560,27245,25985,26913,27700,29299,30768
전라남도,계,95세 이상,3183,3441,3810,4449,4839,5290,5748,6321,6936,7523,8120,8727,9331,9951,10414,11287,11999,11559,11665
목포시,계,계,216846,214193,211724,209368,207072,204809,202668,200647,198685,196762,194892,193072,191306,189532,187780,186045,184316,182591,180888
목포시,계,0 - 4세,5498,4998,4676,4497,4477,4467,4467,4566,4692,4807,4906,4984,5036,5069,5066,5023,4945,4842,4713
목포시,계,5 - 9세,9953,9029,8264,7382,6497,5926,5473,5146,4933,4874,4836,4839,4950,5089,5214,5321,5403,5460,5496
목포시,계,10 - 14세,11962,11768,11331,10965,10400,9564,8783,8107,7303,6489,5944,5492,5161,4939,4867,4828,4844,4964,5109
목포시,계,15 - 19세,11207,11143,11087,11112,11242,11353,11171,10808,10531,10020,9266,8580,7957,7193,6434,5922,5479,5161,4933
목포시,계,20 - 24세,13184,12215,11376,10360,9832,9640,9608,9580,9603,9747,9842,9672,9404,9205,8802,8237,7722,7202,6564
목포시,계,25 - 29세,12099,11998,11750,11594,11002,10266,9579,8981,8250,7878,7710,7713,7663,7664,7800,7854,7712,7561,7488
목포시,계,30 - 34세,10144,10465,10816,11021,11242,11096,10942,10635,10400,9863,9315,8740,8243,7624,7266,7083,7084,7010,7013
목포시,계,35 - 39세,12959,11696,10823,10493,10314,10505,10823,11117,11273,11456,11291,11119,10802,10551,10063,9566,8988,8502,7892
목포시,계,40 - 44세,17430,17212,16550,15502,14326,13036,11943,11203,10956,10799,10991,11303,11581,11732,11913,11742,11562,11239,10984
목포시,계,45 - 49세,18243,17445,17021,16956,17054,17148,17005,16429,15473,14394,13211,12208,11551,11356,11225,11431,11758,12040,12198
목포시,계,50 - 54세,18982,19371,19218,18790,18050,17446,16730,16371,16329,16470,16626,16538,16038,15164,14172,13085,12168,11586,11443
목포시,계,55 - 59세,17137,16963,17406,17628,17811,18108,18434,18239,17830,17150,16602,15953,15632,15611,15787,15977,15928,15486,14684
목포시,계,60 - 64세,17597,17593,17221,16754,16422,16314,16198,16666,16900,17086,17400,17713,17521,17141,16503,15991,15386,15081,15068
목포시,계,65 - 69세,12736,13685,14827,15603,16467,16714,16791,16509,16107,15818,15739,15653,16132,16386,16577,16891,17197,17015,16661
