시군구별,성별,연령별,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
울산,계,계,1113508,1106306,1102846,1094165,1085657,1077377,1069169,1060979,1052714,1044300,1035731,1026981,1018036,1008943,999720,990425,981048,971518,961845,952021,942032
울산,계,0 - 4세,34957,31627,29083,26908,25239,24291,23948,23845,23999,24257,24399,24430,24362,24220,24031,23827,23575,23240,22849,22421,21960
울산,계,5 - 9세,53368,50181,46582,42239,37702,33780,30558,28030,25988,24429,23557,23258,23195,23389,23696,23885,23968,23952,23859,23720,23556
울산,계,10 - 14세,56114,55694,55516,55482,54194,52010,48780,45239,41075,36714,32954,29874,27454,25494,23997,23166,22890,22844,23066,23402,23619
울산,계,15 - 19세,49640,51748,52588,52504,53510,53712,53272,53057,53014,51727,49632,46517,43134,39138,35006,31513,28666,26414,24583,23201,22469
울산,계,20-24세,59400,51985,48081,44968,42852,42763,44165,43965,43644,44579,44717,44360,44132,44044,42916,41144,38530,35857,32704,29504,26853
울산,계,25-29세,72743,70568,68384,64647,60308,55344,50366,47525,44643,42161,41583,42286,41655,41390,42303,42392,42065,41863,41848,40843,39301
울산,계,30-34세,70246,71896,72904,72887,72884,71456,69372,66479,63675,60337,56184,51881,49365,46316,43593,42827,43303,42567,42335,43241,43344
울산,계,35-39세,76079,71671,69426,68929,68332,69166,70302,70815,70950,71068,69777,67882,65295,62888,59953,56116,52102,49711,46593,43814,42992
울산,계,40-44세,92584,92746,91026,85453,80089,74442,69904,67508,67121,66600,67527,68763,69383,69608,69805,68603,66819,64400,62208,59498,55854
울산,계,45-49세,90172,87234,85639,86677,88757,90840,90832,88818,83496,78412,73011,68697,66462,66158,65695,66694,67995,68690,68983,69239,68100
울산,계,50-54세,105403,103910,100560,97200,92669,88644,85850,83896,84904,86929,88974,89018,87124,82007,77148,71942,67806,65698,65454,65048,66105
울산,계,55-59세,100872,100409,104227,103887,103220,102698,101290,97897,94795,90478,86637,83951,82041,83050,85042,87060,87131,85325,80379,75711,70691
울산,계,60-64세,94160,97678,97338,97334,95687,96002,95269,98588,98341,97917,97627,96451,93360,90545,86481,82886,80380,78576,79613,81557,83511
울산,계,65-69세,63957,68992,74939,79401,85938,88716,91873,91214,91215,89611,89948,89315,92612,92476,92284,92200,91240,88460,85917,82142,78814
울산,계,70-74세,40504,43089,45728,50684,55662,59833,64494,69933,74161,80362,82944,85951,85329,85381,83907,84307,83827,87092,87089,87108,87200
울산,계,75-79세,24752,26000,28459,30887,33944,36581,38947,41330,45906,50459,54311,58604,63597,67561,73333,75676,78491,77938,78097,76883,77370
