"시군구별","성별","연령별",2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042
"서울","계","계",9421415,9400365,9393699,9339904,9286528,9235940,9187423,9140710,9096161,9054005,9013737,8975214,8938256,8902414,8867010,8831357,8794011,8753578,8709899,8662766,8612169
"서울","계","0 - 4세",237243,218633,202023,187219,175896,170524,171216,176584,185930,196422,205981,214562,222002,228276,233459,237720,240201,240230,238370,235080,230690
"서울","계","5 - 9세",317272,298048,282354,259252,235915,217004,200616,185611,172838,163066,158417,158933,163539,171776,181000,189349,196824,203278,208695,213150,216798
"서울","계","10 - 14세",348165,340540,335814,333384,325186,311323,293267,276523,254451,231993,213775,198071,183735,171532,162216,157728,158086,162361,170179,178955,186891
"서울","계","15 - 19세",377669,374053,365130,357546,359281,358273,351853,346757,345189,337719,324052,306232,289693,267839,245169,226458,210388,195826,183442,174024,169455
"서울","계","20-24세",616641,599242,585574,551759,513527,492446,482739,470339,465293,470114,471440,465619,461191,461030,453134,437367,417077,397581,371687,343447,319456
"서울","계","25-29세",824404,825754,818006,810664,797672,771573,738062,707676,666989,624088,603146,596957,587607,584265,591575,595063,589804,585598,585127,575357,556414
"서울","계","30-34세",747347,777149,797306,811466,825149,821670,815364,803805,794284,779702,750913,715320,685175,645878,606102,589469,587005,579567,576962,585406,589373
"서울","계","35-39세",681638,659004,652930,654432,658134,678022,701389,717504,730227,742081,737473,730919,719307,710311,696427,669095,636418,609866,574597,539706,526834
"서울","계","40-44세",720116,722138,716786,686497,658324,627564,604778,595852,598317,602362,621440,643006,657806,669719,680617,675800,669576,658474,650203,637051,611453
"서울","계","45-49세",716246,684387,664529,666440,676937,689043,692616,684927,656564,630350,601153,579657,571566,574370,578528,597099,617738,632013,643634,654049,649221
"서울","계","50-54세",792047,794228,780011,755607,717216,685326,657189,637562,641397,652952,665894,670339,663410,636216,611290,583172,562603,555116,558156,562399,580652
"서울","계","55-59세",708769,692659,712446,717298,733685,746250,749475,733845,712679,678241,650131,625132,607918,613023,625088,638416,643362,636980,610933,587285,560288
"서울","계","60-64세",722763,727214,711864,693226,668071,661782,648455,668010,674207,691002,703648,707685,694025,675384,644132,618969,596377,580932,586803,599077,612640
"서울","계","65-69세",569622,598063,628021,644253,669548,669772,677667,664701,649848,628400,624817,614124,635125,642477,659666,672640,677624,665734,649115,620309,597209
"서울","계","70-74세",404303,413958,428689,461139,497220,522060,550416,580016,598529,626001,629272,639837,629648,617729,599262,597644,589133,611136,619574,637193,650570
"서울","계","75-79세",298165,309321,325204,341853,353160,360526,371001,384979,416841,451382,475866,503979,533350,553198,581537,586670,598752,590602,581193,565655,565605
"서울","계","80-84세",204910,221134,228058,235107,234043,244880,255280,268631,283531,292999,300984,311764,325223,354950,385610,408003,433831,460668,480493,507675,513371
"서울","계","85-89세",94854,102723,112695,120964,129697,143788,155727,159868,164897,163838,173550,182477,192816,204381,210706,218281,227891,239099,263758,287196,305054
"서울","계","90-94세",31397,33576,36618,41131,46302,51301,56116,61696,66265,71217,79500,86204,88176,90897,89897,96929,102842,108979,116010,118911,124809
"서울","계","95세이상",7844,8541,9641,10667,11565,12813,14197,15824,17885,20076,22285,24397,26944,29163,31595,35485,38479,39538,40968,40841,45386
"종로구","계","계",146891,146684,146227,144162,142309,140699,139265,137998,136848,135836,134938,134136,133410,132763,132151,131557,130948,130320,129636,128900,128099
"종로구","계","0 - 4세",2618,2405,2282,2068,1952,1872,1883,1966,2082,2215,2342,2458,2557,2638,2703,2762,2795,2798,2780,2745,2695
"종로구","계","5 - 9세",3801,3442,3213,2986,2658,2443,2276,2123,1966,1880,1810,1822,1886,1985,2102,2206,2300,2383,2449,2503,2550
"종로구","계","10 - 14세",4448,4290,4154,4024,3881,3731,3466,3269,3050,2734,2538,2363,2203,2049,1963,1892,1905,1962,2058,2170,2266
"종로구","계","15 - 19세",6665,6658,5871,5164,4850,4890,4785,4711,4694,4622,4482,4217,4015,3768,3424,3202,2997,2816,2647,2545,2462
"종로구","계","20-24세",13200,13308,13177,12250,11239,10323,9892,9248,9040,9040,9191,9070,9019,9023,8925,8704,8366,8092,7714,7234,6885
"종로구","계","25-29세",14395,14680,15212,15430,15279,14758,14037,13445,12587,11739,11114,10983,10638,10646,10722,10871,10727,10697,10668,10531,10239
"종로구","계","30-34세",10789,11416,11822,12008,12255,12294,12170,12294,12174,11963,11500,10928,10495,9823,9228,8876,8920,8693,8753,8815,8945
"종로구","계","35-39세",9244,9063,8902,8745,8845,9052,9497,9644,9853,10026,9991,9866,9897,9717,9563,9174,8730,8380,7843,7398,7160
"종로구","계","40-44세",9863,9764,9750,9394,8927,8528,8231,8050,8034,8178,8386,8783,8904,9122,9260,9219,9103,9095,8900,8771,8406
"종로구","계","45-49세",10357,9649,9182,9141,9341,9483,9538,9482,9153,8734,8373,8081,7918,7931,8058,8248,8619,8738,8967,9086,9042
"종로구","계","50-54세",12480,12344,11920,11385,10616,10024,9493,9159,9188,9412,9577,9659,9602,9260,8848,8486,8179,8025,8047,8164,8353
"종로구","계","55-59세",11581,11233,11410,11476,11667,11817,11750,11430,11014,10373,9883,9427,9148,9204,9436,9610,9708,9644,9288,8876,8512
"종로구","계","60-64세",11167,11419,11290,11023,10556,10441,10238,10503,10633,10852,11028,11005,10750,10404,9847,9435,9041,8812,8884,9118,9290
"종로구","계","65-69세",8538,8851,9421,9628,10069,10111,10313,10136,9931,9558,9520,9371,9666,9809,10038,10232,10239,10032,9743,9258,8902
"종로구","계","70-74세",5991,5999,6180,6656,7284,7658,7996,8467,8649,9076,9111,9324,9174,9018,8711,8714,8604,8914,9068,9298,9490
