시점,sido,행정구역(시군구)별,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80세 이상,80 - 84세,85세 이상,85 - 89세,90 - 94세,95 - 99세,100세 이상
2023,전국,전국,51145884.5,1380804.5,2050235,2341519,2329282,2861651.5,3428923.5,3345284,3221366,4013266.5,3932778.5,4488255.5,4100065.5,4190183.5,3282269.5,2229036.5,1653502.5,2297461,1313968.5,983492.5,688566,236889.5,50293,7744
2023,서울특별시,서울특별시,9334933.5,220265.5,308678,357808.5,381243,564693.5,802843.5,764498.5,653747,727185.5,693374.5,787553,687236,703236,588956,409781,311120.5,372713.5,222881.5,149832,105271,35320.5,7997,1243.5
2023,서울특별시,종로구,138501,2427,3724,4610,5245,9281,12459.5,10634,8523.5,9657,9620.5,12303,11237,11118,8955.5,6105,5180.5,7420.5,4293,3127.5,2183,724,189.5,31
2023,서울특별시,중구,119207,2738,3051.5,2896,3293.5,6800.5,10696.5,11073,9136,8831,7643,9644,9132.5,9558,8238,5660.5,4573,6242,3579,2663,1800,676,161.5,25.5
2023,서울특별시,용산구,212437,5281,6217,6483.5,7309.5,12002.5,18733,20546,16804.5,16601.5,14732,18167.5,15742,15784,12731,8466,6793,10043,5577.5,4465.5,3098.5,1088,234.5,44.5
2023,서울특별시,성동구,276960.5,8245,9310,8477.5,9632.5,17359.5,24060.5,23544.5,21889.5,21933.5,19227.5,23132.5,20900.5,21283.5,16677,11165,8906.5,11215.5,6733,4482.5,3246,991,205,40.5
2023,서울특별시,광진구,333991,6525.5,9292,11365,12724,23367.5,36014.5,30984,23551,24596,23549.5,27493,25007.5,24831,19734,13060.5,9943.5,11952.5,7196.5,4756,3376,1083.5,257,39.5
2023,서울특별시,동대문구,336442.5,8041,10418.5,10790,11816.5,25598.5,30747,25929.5,22825.5,25079,22999.5,26915.5,24443,25714,21970.5,15463.5,12456,15235,9304,5931,4321,1289.5,265.5,55
2023,서울특별시,중랑구,381591.5,8812,10905,11673.5,12682.5,20058,30977,31306.5,26213.5,27990.5,25517.5,32271,32306,34421,27766,18597.5,13934,16160,9978.5,6181.5,4398,1400.5,340,43
2023,서울특별시,성북구,425100.5,10212,14757.5,16728,18760.5,31491.5,33357.5,29179,27447,32089,32078,38253,31491,31030.5,26059.5,18299.5,14777.5,19089.5,11569.5,7520,5351.5,1727,392.5,49
